2022-06-09 21:08:33,760 INFO    MainThread:14093 [wandb_setup.py:_flush():76] Loading settings from /home/adriansegura/.config/wandb/settings
2022-06-09 21:08:33,761 INFO    MainThread:14093 [wandb_setup.py:_flush():76] Loading settings from /home/adriansegura/Desktop/RUG/CattleNet/convnext/wandb/settings
2022-06-09 21:08:33,761 INFO    MainThread:14093 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-06-09 21:08:33,761 INFO    MainThread:14093 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'convnext/setup.py', 'program': '/home/adriansegura/Desktop/RUG/CattleNet/convnext/setup.py'}
2022-06-09 21:08:33,761 INFO    MainThread:14093 [wandb_init.py:_log_setup():428] Logging user logs to /home/adriansegura/Desktop/RUG/CattleNet/convnext/wandb/run-20220609_210833-2735bh7l/logs/debug.log
2022-06-09 21:08:33,761 INFO    MainThread:14093 [wandb_init.py:_log_setup():429] Logging internal logs to /home/adriansegura/Desktop/RUG/CattleNet/convnext/wandb/run-20220609_210833-2735bh7l/logs/debug-internal.log
2022-06-09 21:08:33,761 INFO    MainThread:14093 [wandb_init.py:init():462] calling init triggers
2022-06-09 21:08:33,761 INFO    MainThread:14093 [wandb_init.py:init():465] wandb.init called with sweep_config: {}
config: {}
2022-06-09 21:08:33,761 INFO    MainThread:14093 [wandb_init.py:init():515] starting backend
2022-06-09 21:08:33,761 INFO    MainThread:14093 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2022-06-09 21:08:33,769 INFO    MainThread:14093 [backend.py:ensure_launched():217] starting backend process...
2022-06-09 21:08:33,775 INFO    MainThread:14093 [backend.py:ensure_launched():222] started backend process with pid: 14133
2022-06-09 21:08:33,775 INFO    MainThread:14093 [wandb_init.py:init():525] backend started and connected
2022-06-09 21:08:33,779 INFO    MainThread:14093 [wandb_init.py:init():596] updated telemetry
2022-06-09 21:08:33,791 INFO    MainThread:14093 [wandb_init.py:init():627] communicating run to backend with 30 second timeout
2022-06-09 21:08:34,583 INFO    MainThread:14093 [wandb_run.py:_on_init():1924] communicating current version
2022-06-09 21:08:34,669 INFO    MainThread:14093 [wandb_run.py:_on_init():1928] got version response upgrade_message: "wandb version 0.12.18 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2022-06-09 21:08:34,669 INFO    MainThread:14093 [wandb_init.py:init():662] starting run threads in backend
2022-06-09 21:08:38,303 INFO    MainThread:14093 [wandb_run.py:_console_start():1898] atexit reg
2022-06-09 21:08:38,303 INFO    MainThread:14093 [wandb_run.py:_redirect():1771] redirect: SettingsConsole.REDIRECT
2022-06-09 21:08:38,303 INFO    MainThread:14093 [wandb_run.py:_redirect():1776] Redirecting console.
2022-06-09 21:08:38,304 INFO    MainThread:14093 [wandb_run.py:_redirect():1832] Redirects installed.
2022-06-09 21:08:38,304 INFO    MainThread:14093 [wandb_init.py:init():688] run started, returning control to user process
2022-06-09 21:09:00,040 INFO    MainThread:14093 [wandb_run.py:_atexit_cleanup():1867] got exitcode: 255
2022-06-09 21:09:00,041 INFO    MainThread:14093 [wandb_run.py:_restore():1839] restore
