2022-07-19 10:29:32,373 INFO    MainThread:22280 [wandb_setup.py:_flush():76] Configure stats pid to 22280
2022-07-19 10:29:32,374 INFO    MainThread:22280 [wandb_setup.py:_flush():76] Loading settings from C:\Users\admin\.config\wandb\settings
2022-07-19 10:29:32,374 INFO    MainThread:22280 [wandb_setup.py:_flush():76] Loading settings from D:\AdrianThesis\CattleNet\convnext\wandb\settings
2022-07-19 10:29:32,374 INFO    MainThread:22280 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2022-07-19 10:29:32,374 INFO    MainThread:22280 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'convnext\\setup.py', 'program': 'd:\\AdrianThesis\\CattleNet\\convnext\\setup.py'}
2022-07-19 10:29:32,374 INFO    MainThread:22280 [wandb_init.py:_log_setup():461] Logging user logs to D:\AdrianThesis\CattleNet\convnext\wandb\run-20220719_102932-nwagadpv\logs\debug.log
2022-07-19 10:29:32,375 INFO    MainThread:22280 [wandb_init.py:_log_setup():462] Logging internal logs to D:\AdrianThesis\CattleNet\convnext\wandb\run-20220719_102932-nwagadpv\logs\debug-internal.log
2022-07-19 10:29:32,375 INFO    MainThread:22280 [wandb_init.py:init():495] calling init triggers
2022-07-19 10:29:32,375 INFO    MainThread:22280 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-07-19 10:29:32,375 INFO    MainThread:22280 [wandb_init.py:init():548] starting backend
2022-07-19 10:29:32,375 INFO    MainThread:22280 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn, using: spawn
2022-07-19 10:29:32,378 INFO    MainThread:22280 [backend.py:ensure_launched():217] starting backend process...
2022-07-19 10:29:32,462 INFO    MainThread:22280 [backend.py:ensure_launched():222] started backend process with pid: 7936
2022-07-19 10:29:32,462 INFO    MainThread:22280 [wandb_init.py:init():558] backend started and connected
2022-07-19 10:29:32,465 INFO    MainThread:22280 [wandb_init.py:init():634] updated telemetry
2022-07-19 10:29:32,501 INFO    MainThread:22280 [wandb_init.py:init():665] communicating run to backend with 30 second timeout
2022-07-19 10:29:34,351 INFO    MainThread:22280 [wandb_run.py:_on_init():1919] communicating current version
2022-07-19 10:29:34,536 INFO    MainThread:22280 [wandb_run.py:_on_init():1923] got version response 
2022-07-19 10:29:34,536 INFO    MainThread:22280 [wandb_init.py:init():700] starting run threads in backend
2022-07-19 10:29:36,961 INFO    MainThread:22280 [wandb_run.py:_console_start():1893] atexit reg
2022-07-19 10:29:36,963 INFO    MainThread:22280 [wandb_run.py:_redirect():1766] redirect: SettingsConsole.WRAP
2022-07-19 10:29:36,963 INFO    MainThread:22280 [wandb_run.py:_redirect():1803] Wrapping output streams.
2022-07-19 10:29:36,965 INFO    MainThread:22280 [wandb_run.py:_redirect():1827] Redirects installed.
2022-07-19 10:29:36,965 INFO    MainThread:22280 [wandb_init.py:init():732] run started, returning control to user process
